	index	average_score
0	lig_001	-789.823
1	lig_002	-814.08
2	lig_003	-803.071
3	lig_004	-816.192
4	lig_005	-813.402
5	lig_006	-833.817
6	lig_007	-783.749
7	lig_008	-823.567
8	lig_009	-780.835
9	lig_010	-817.939
10	lig_011	-789.416
11	lig_012	-811.86
12	lig_013	-866.814
13	lig_014	-677.366
14	lig_015	-864.636
15	lig_016	-759.012
16	lig_017	-815.898
17	lig_018	-796.312
18	lig_019	-793.668
19	lig_020	-824.868
20	lig_021	-824.432
21	lig_022	-783.143
22	lig_023	-821.127
23	lig_024	-807.732
24	lig_025	-844.928
25	lig_026	-857.141
26	lig_027	-769.323
27	lig_028	-815.02
28	lig_029	-799.261
29	lig_030	-794.649
30	lig_031	-785.908
31	lig_032	-818.53
32	lig_033	-798.831
33	lig_034	-785.723
34	lig_035	-785.769
35	lig_036	-847.52
36	lig_037	-868.908
37	lig_038	-776.196
38	lig_039	-820.045
39	lig_040	-838.11
40	lig_041	-834.303
41	lig_042	-822.472
42	lig_043	-792.812
43	lig_044	-777.705
44	lig_045	-786.347
45	lig_046	-830.657
46	lig_047	-747.395
47	lig_048	-828.587
48	lig_049	-823.389
49	lig_050	-830.75
50	lig_051	-811.357
51	lig_052	-660.49
52	lig_053	-786.482
53	lig_054	-859.46
54	lig_055	-784.532
55	lig_056	-785.473
56	lig_057	-645.226
57	lig_058	-793.524
58	lig_059	-808.729
59	lig_060	-783.978
60	lig_061	-854.814
61	lig_062	-801.526
62	lig_063	-788.146
63	lig_064	-817.14
64	lig_065	-761.829
65	lig_066	-769.441
66	lig_067	-803.703
67	lig_068	-795.53
68	lig_069	-791.431
69	lig_070	-802.966
70	lig_071	-837.703
71	lig_072	-872.214
72	lig_073	-788.218
73	lig_074	-825.253
74	lig_075	-776.087
75	lig_076	-841.763
76	lig_077	-793.517
77	lig_078	-838.694
78	lig_079	-745.329
79	lig_080	-834.116
80	lig_081	-796.123
81	lig_082	-862.237
82	lig_083	-815.755
83	lig_084	-785.253
84	lig_085	-703.238
85	lig_086	-838.775
86	lig_087	-860.135
87	lig_088	-637.602
88	lig_089	-843.549
89	lig_090	-809.199
90	lig_091	-873.699
91	lig_092	-773.814
92	lig_093	-811.101
93	lig_094	-874.356
94	lig_095	-812.259
95	lig_096	-778.979
96	lig_097	-830.036
97	lig_098	-829.717
98	lig_099	-859.847
99	lig_100	-850.685
100	lig_101	-505.712
101	lig_102	-877.774
102	lig_103	-804.425
103	lig_104	-774.946
104	lig_105	-761.6
105	lig_106	-811.351
106	lig_107	-812.946
107	lig_108	-856.819
108	lig_109	-881.515
109	lig_110	-777.271
110	lig_111	-867.193
111	lig_112	-792.164
